method,budget_fraction,median,q25,q75
PSO,0.23333333333333334,6.697021860331127,1.2534210585226568,12.118254353478429
PSO,0.26666666666666666,6.615694622507856,1.2442892812956194,11.777742151894698
PSO,0.3,6.592009990950414,1.2438347545841464,11.44667791290108
PSO,0.3333333333333333,6.570181756499122,1.2423914900245974,10.924735317410477
PSO,0.36666666666666664,6.53130189198954,1.2266118271507391,10.834448783037605
PSO,0.4,6.512917459943958,1.2232996209459108,10.68797001408376
PSO,0.43333333333333335,6.350654646649839,1.2232996209459108,10.596548106647829
PSO,0.4666666666666667,6.315040105967348,1.2232996209459108,10.53269030001212
PSO,0.5,6.29765722374594,1.2232996209459108,10.48538441694959
PSO,0.5333333333333333,6.235781559257285,1.2232996209459108,10.48538441694959
PSO,0.5666666666666667,6.136033009987349,1.2232996209459108,10.48538441694959
PSO,0.6,6.091940357659977,1.2232996209459108,10.48538441694959
PSO,0.6333333333333333,5.76314748917374,1.2232996209459108,10.48538441694959
PSO,0.6666666666666666,5.76314748917374,1.1961734457098028,10.476246271404285
PSO,0.7,5.76314748917374,1.1894746794510238,10.457969980313676
PSO,0.7333333333333333,5.6682013193273075,1.1894746794510238,10.455008851071002
PSO,0.7666666666666666,5.667372629177363,1.1307606581600407,10.446865745653644
PSO,0.8,5.66464979011326,1.1307606581600407,10.437052398796965
PSO,0.8333333333333334,5.66464979011326,1.1307606581600407,10.276074396368518
PSO,0.8666666666666667,5.66464979011326,1.1307606581600407,10.25403002901302
PSO,0.9,5.66464979011326,1.1307606581600407,10.25403002901302
PSO,0.9333333333333333,5.66464979011326,1.1307606581600407,10.206459755610053
PSO,0.9666666666666667,5.66464979011326,1.1307606581600407,10.206459755610053
PSO,1.0,5.66464979011326,1.1307606581600407,10.206459755610053
