task_id,method,gap_pct,reference_km,length_km
8,Insertion+2opt,0.0,2.4314289960780373,2.4314289960780373
8,MultiStart2opt,0.0,2.4314289960780373,2.4314289960780373
8,MultiStart2opt-RT,0.0,2.4314289960780373,2.4314289960780373
9,ILS,1.1854762732981374,2.412200655412025,2.4407967218462767
9,Insertion+2opt,1.992805054715228,2.412200655412025,2.4602711120029497
9,MultiStart2opt,0.0592738136649078,2.412200655412025,2.4136304587337376
9,MultiStart2opt-RT,0.0,2.412200655412025,2.412200655412025
10,ILS,0.0,2.284792664659961,2.284792664659961
10,Insertion+2opt,2.2188434440444063,2.284792664659961,2.335488636909776
10,MultiStart2opt,0.0,2.284792664659961,2.284792664659961
10,MultiStart2opt-RT,0.0,2.284792664659961,2.284792664659961
11,ILS,0.0,2.6881673361169907,2.6881673361169907
11,Insertion+2opt,3.506395099312323,2.6881673361169907,2.7824251038519114
11,MultiStart2opt,0.0,2.6881673361169907,2.6881673361169907
11,MultiStart2opt-RT,0.0,2.6881673361169907,2.6881673361169907
12,ILS,0.0,1.4260236853528467,1.4260236853528467
12,Insertion+2opt,0.0,1.4260236853528467,1.4260236853528467
12,MultiStart2opt,0.0,1.4260236853528467,1.4260236853528467
12,MultiStart2opt-RT,0.0,1.4260236853528467,1.4260236853528467
13,ILS,0.0,2.026911186852802,2.026911186852802
13,Insertion+2opt,0.0,2.026911186852802,2.026911186852802
13,MultiStart2opt,0.0,2.026911186852802,2.026911186852802
13,MultiStart2opt-RT,0.0,2.026911186852802,2.026911186852802
14,ILS,0.0,1.067134550587395,1.067134550587395
14,Insertion+2opt,0.0,1.067134550587395,1.067134550587395
14,MultiStart2opt,0.0,1.067134550587395,1.067134550587395
14,MultiStart2opt-RT,0.0,1.067134550587395,1.067134550587395
15,ILS,0.0357371712623585,2.112602871122433,2.11335785562858
15,Insertion+2opt,0.0,2.112602871122433,2.112602871122433
15,MultiStart2opt,0.0,2.112602871122433,2.112602871122433
15,MultiStart2opt-RT,0.0,2.112602871122433,2.112602871122433
16,ILS,0.0,2.159640501700675,2.159640501700675
16,Insertion+2opt,1.6458192965810994,2.159640501700675,2.1951842818144454
16,MultiStart2opt,0.072735361556603,2.159640501700675,2.1612113240279096
16,MultiStart2opt-RT,0.0,2.159640501700675,2.159640501700675
17,ILS,0.0,2.0100547196305705,2.0100547196305705
17,Insertion+2opt,0.0,2.0100547196305705,2.0100547196305705
17,MultiStart2opt,0.0,2.0100547196305705,2.0100547196305705
17,MultiStart2opt-RT,0.0,2.0100547196305705,2.0100547196305705
18,ILS,0.0,2.7052757751641314,2.7052757751641314
18,Insertion+2opt,1.4470514454625354,2.7052757751641314,2.744422507372392
18,MultiStart2opt,0.0,2.7052757751641314,2.7052757751641314
18,MultiStart2opt-RT,0.0,2.7052757751641314,2.7052757751641314
19,ILS,0.0,1.908463713665149,1.908463713665149
19,Insertion+2opt,0.0,1.908463713665149,1.908463713665149
19,MultiStart2opt,0.0,1.908463713665149,1.908463713665149
19,MultiStart2opt-RT,0.0,1.908463713665149,1.908463713665149
20,ILS,0.0,2.169746843952334,2.169746843952334
20,Insertion+2opt,0.5633996820124194,2.169746843952334,2.181971190771636
20,MultiStart2opt,0.0,2.169746843952334,2.169746843952334
20,MultiStart2opt-RT,0.0,2.169746843952334,2.169746843952334
21,ILS,0.0,2.207342884706021,2.207342884706021
21,Insertion+2opt,0.0,2.207342884706021,2.207342884706021
21,MultiStart2opt,0.0,2.207342884706021,2.207342884706021
21,MultiStart2opt-RT,0.0,2.207342884706021,2.207342884706021
22,ILS,0.0,0.6495626464756483,0.6495626464756479
22,Insertion+2opt,0.0,0.6495626464756483,0.6495626464756479
22,MultiStart2opt,0.0,0.6495626464756483,0.6495626464756479
22,MultiStart2opt-RT,0.0,0.6495626464756483,0.6495626464756479
23,ILS,0.0,2.01067302300028,2.01067302300028
23,Insertion+2opt,0.0,2.01067302300028,2.01067302300028
23,MultiStart2opt,0.0,2.01067302300028,2.01067302300028
23,MultiStart2opt-RT,0.0,2.01067302300028,2.01067302300028
24,ILS,0.0,1.3508272334785485,1.3508272334785485
24,Insertion+2opt,0.0,1.3508272334785485,1.3508272334785485
24,MultiStart2opt,0.0,1.3508272334785485,1.3508272334785485
24,MultiStart2opt-RT,0.0,1.3508272334785485,1.3508272334785485
25,ILS,0.0,1.9406169918137253,1.9406169918137253
25,Insertion+2opt,0.0,1.9406169918137253,1.9406169918137253
25,MultiStart2opt,0.0,1.9406169918137253,1.9406169918137253
25,MultiStart2opt-RT,0.0,1.9406169918137253,1.9406169918137253
26,ILS,0.0,2.218200980928021,2.218200980928021
26,Insertion+2opt,0.0,2.218200980928021,2.218200980928021
26,MultiStart2opt,0.0,2.218200980928021,2.218200980928021
26,MultiStart2opt-RT,0.0,2.218200980928021,2.218200980928021
27,ILS,0.0,1.900062151237724,1.900062151237724
27,Insertion+2opt,0.0,1.900062151237724,1.900062151237724
27,MultiStart2opt,0.0,1.900062151237724,1.900062151237724
27,MultiStart2opt-RT,0.0,1.900062151237724,1.900062151237724
28,ILS,0.0,2.025980418950708,2.025980418950708
