config_id,factor,value,task_id,mean_length_km,sd_length_km,mean_runtime_s,reference_km,gap_pct
beta_4.0,beta,4.0,6,1.7564564612326241,0.0,6.499554480443476,1.756456461232624,1.2641623053338177e-14
beta_4.0,beta,4.0,7,1.841979220771842,0.0004338583420450228,4.703838150150841,1.8418822070973,0.00526709439768382
beta_4.0,beta,4.0,8,2.4314289960780373,0.0,11.566341318137711,2.4314289960780373,0.0
beta_4.0,beta,4.0,9,2.4122006554120246,0.0,7.719490231608506,2.412200655412025,0.0
beta_4.0,beta,4.0,10,2.308178751229543,0.011996809280190122,6.609116291400278,2.284792664659961,1.0235539938177525
beta_4.0,beta,4.0,11,2.856958551795248,0.057557145871101285,6.570502647792455,2.6881673361169907,6.2790442176145564
beta_4.0,beta,4.0,12,1.453919681576793,0.018327540304679944,8.73850108232,1.4260236853528467,1.9562084774941035
beta_4.0,beta,4.0,13,2.041585259088855,0.02096590552573105,6.29762236304814,2.026911186852802,0.7239622698435801
beta_4.0,beta,4.0,14,1.0699311953674897,0.008607891008547417,2.8831615855393466,1.067134550587395,0.2620704932246155
beta_4.0,beta,4.0,15,2.117245593703328,0.003512927398600964,5.147942846099613,2.112602871122433,0.2197631483113537
beta_4.0,beta,4.0,16,2.161820676043102,0.004934569629265867,9.790523562155432,2.159640501700675,0.10095079902004003
beta_4.0,beta,4.0,17,2.0100547196305705,0.0,3.956225624779472,2.0100547196305705,0.0
beta_4.0,beta,4.0,18,2.7052757751641314,0.0,9.821736679552123,2.7052757751641314,0.0
beta_4.0,beta,4.0,19,1.9102479172299731,0.007979200913287752,3.389303114404902,1.908463713665149,0.09348899599445908
beta_4.0,beta,4.0,20,2.1697468439523346,0.0,5.742340130306547,2.169746843952334,2.0467328300896403e-14
beta_4.0,beta,4.0,21,2.2094378644866506,0.009369034401950185,3.9670775384816808,2.207342884706021,0.0949095763573937
beta_4.0,beta,4.0,22,0.6495626464756479,0.0,25.008899522176943,0.6495626464756483,0.0
beta_4.0,beta,4.0,23,2.01067302300028,0.0,2.3201961489976384,2.01067302300028,0.0
beta_4.0,beta,4.0,24,1.3508272334785483,0.0,2.360084539244417,1.3508272334785485,0.0
beta_4.0,beta,4.0,25,1.9406169918137253,0.0,3.4459290206083097,1.9406169918137255,0.0
beta_4.0,beta,4.0,26,2.218200980928021,0.0,5.882752089900896,2.218200980928021,0.0
beta_4.0,beta,4.0,27,1.9101114533964831,0.014050661078899103,2.9254480112926102,1.9000621512377236,0.5288933392106835
beta_4.0,beta,4.0,28,2.0435105914949583,0.023570940242861306,5.787908037187298,2.025980418950708,0.8652686067582757
beta_4.0,beta,4.0,29,2.5167763505118854,0.003778000563589373,11.74694910069229,2.4908832129936185,1.03951632028335
