config_id,factor,value,task_id,seed,alpha,beta,evaporation,evaluation_budget,length_km,runtime_s,evaluations
alpha_0.5,alpha,0.5,10,15,0.5,2.0,0.5,7500,2.3140252728719384,6.358560267020948,7500
alpha_0.5,alpha,0.5,10,16,0.5,2.0,0.5,7500,2.2847926646599612,6.9598251020070165,7500
alpha_0.5,alpha,0.5,10,17,0.5,2.0,0.5,7500,2.3140252728719384,6.307018804945983,7500
alpha_0.5,alpha,0.5,10,18,0.5,2.0,0.5,7500,2.2847926646599612,6.338305359939113,7500
alpha_0.5,alpha,0.5,10,19,0.5,2.0,0.5,7500,2.2847926646599612,6.318776957923546,7500
alpha_0.5,alpha,0.5,11,0,0.5,2.0,0.5,7500,2.6881673361169907,6.129893906996585,7500
alpha_0.5,alpha,0.5,11,1,0.5,2.0,0.5,7500,2.6881673361169907,6.1679652989842,7500
alpha_0.5,alpha,0.5,11,2,0.5,2.0,0.5,7500,2.6881673361169907,6.330508179962635,7500
alpha_0.5,alpha,0.5,11,3,0.5,2.0,0.5,7500,2.694971670426138,6.164122579037212,7500
alpha_0.5,alpha,0.5,11,4,0.5,2.0,0.5,7500,2.6881673361169907,6.150838033063337,7500
alpha_0.5,alpha,0.5,11,5,0.5,2.0,0.5,7500,2.6881673361169907,6.154437017044984,7500
alpha_0.5,alpha,0.5,11,6,0.5,2.0,0.5,7500,2.6881673361169907,6.098940382013097,7500
alpha_0.5,alpha,0.5,11,7,0.5,2.0,0.5,7500,2.6881673361169907,6.180049978080206,7500
alpha_0.5,alpha,0.5,11,8,0.5,2.0,0.5,7500,2.6881673361169907,6.253004072001204,7500
alpha_0.5,alpha,0.5,11,9,0.5,2.0,0.5,7500,2.6881673361169907,6.088293469976634,7500
alpha_0.5,alpha,0.5,11,10,0.5,2.0,0.5,7500,2.6881673361169907,6.194088862976059,7500
alpha_0.5,alpha,0.5,11,11,0.5,2.0,0.5,7500,2.6881673361169907,6.454311654902995,7500
alpha_0.5,alpha,0.5,11,12,0.5,2.0,0.5,7500,2.6881673361169907,6.279967520036735,7500
alpha_0.5,alpha,0.5,11,13,0.5,2.0,0.5,7500,2.694971670426138,6.476703300955705,7500
alpha_0.5,alpha,0.5,11,14,0.5,2.0,0.5,7500,2.694971670426138,6.379000799963251,7500
alpha_0.5,alpha,0.5,11,15,0.5,2.0,0.5,7500,2.6881673361169907,6.379707162966952,7500
alpha_0.5,alpha,0.5,11,16,0.5,2.0,0.5,7500,2.6881673361169907,6.453761291923001,7500
alpha_0.5,alpha,0.5,11,17,0.5,2.0,0.5,7500,2.694971670426138,6.378802269115113,7500
alpha_0.5,alpha,0.5,11,18,0.5,2.0,0.5,7500,2.6881673361169907,6.6899189880350605,7500
alpha_0.5,alpha,0.5,11,19,0.5,2.0,0.5,7500,2.6881673361169907,6.819812759989873,7500
alpha_0.5,alpha,0.5,12,0,0.5,2.0,0.5,7500,1.439743516359057,8.402999317040667,7500
alpha_0.5,alpha,0.5,12,1,0.5,2.0,0.5,7500,1.4260236853528467,8.41663241700735,7500
alpha_0.5,alpha,0.5,12,2,0.5,2.0,0.5,7500,1.4260236853528467,8.436863471986726,7500
alpha_0.5,alpha,0.5,12,3,0.5,2.0,0.5,7500,1.4263484665422361,8.42561230796855,7500
alpha_0.5,alpha,0.5,12,4,0.5,2.0,0.5,7500,1.4260236853528467,8.41465952899307,7500
alpha_0.5,alpha,0.5,12,5,0.5,2.0,0.5,7500,1.4452053511123155,8.396502971998416,7500
alpha_0.5,alpha,0.5,12,6,0.5,2.0,0.5,7500,1.4400682975484465,8.429738739039749,7500
