task_id,method,seed,length_km,runtime_s,evaluations,valid,selected_method,order,metadata
19,ReferenceExact,20260820,1.908463713665149,0.0172532208962366,0,True,,"[2, 3, 4, 5, 1, 0]","{""certified"": true, ""concorde_nodes"": 10, ""home_duplicate_padding"": 3, ""integer_objective"": 1908463, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task19/task19.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 7, ""problem_sha256"": ""89784f59a85d59edd2c36bbf015f8dad67abbe05433549e57c15246b222e9248"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 3.5e-06, ""solution_sha256"": ""f27de81d8e2f181029fd3c1b36c216b4954b902287176f6a0cb46428a88eb675"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
20,CheapestInsertion,0,2.2248962200315026,0.0005102789727970958,220,True,,"[6, 7, 5, 4, 2, 8, 9, 3, 1, 0]",{}
20,HeldKarpCheck,0,2.1697468439523346,0.021811092970892787,23050,True,,"[3, 2, 4, 5, 6, 7, 8, 9, 1, 0]",{}
20,NN+2opt,0,2.1919092213038294,0.0005758770275861025,46,True,,"[2, 4, 5, 6, 7, 8, 9, 3, 1, 0]",{}
20,NearestNeighbor,0,2.1919092213038294,0.0002960250712931156,55,True,,"[2, 4, 5, 6, 7, 8, 9, 3, 1, 0]",{}
20,ReferenceExact,20260820,2.1697468439523346,0.01601720799226314,0,True,,"[0, 1, 9, 8, 7, 6, 5, 4, 2, 3]","{""certified"": true, ""concorde_nodes"": 11, ""home_duplicate_padding"": 0, ""integer_objective"": 2169749, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task20/task20.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 11, ""problem_sha256"": ""e3d3d93b36623e9fca43b4f948cbfba121637776ccdfe6dddecf72102da68a0b"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 5.5e-06, ""solution_sha256"": ""e0ddd01b5ab681ec6ae89760317af9b15652d47ddc4777eac30723d860999450"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
21,CheapestInsertion,0,2.2868830026413263,0.0004280669381842017,84,True,,"[0, 1, 2, 3, 6, 5, 4]",{}
21,HeldKarpCheck,0,2.207342884706021,0.0022960170172154903,1351,True,,"[1, 2, 4, 5, 6, 3, 0]",{}
21,NN+2opt,0,2.2073428847060215,0.0005975000094622374,34,True,,"[0, 3, 6, 5, 4, 2, 1]",{}
21,NearestNeighbor,0,2.3086256803578853,0.00028062891215085983,28,True,,"[1, 0, 2, 4, 5, 6, 3]",{}
