task_id,method,length_km,length_sd,runtime_s,evaluations,n_runs
17,ReferenceExact,2.0100547196305705,0.0,0.0122232319554314,0.0,1
18,CheapestInsertion,3.1435140305922897,0.0,0.0017760939663276,969.0,1
18,HeldKarpCheck,2.7052757751641314,0.0,4.746194284060039,8912913.0,1
18,NearestNeighbor,3.011457479037936,0.0,0.0006727480795234,153.0,1
18,ReferenceExact,2.7052757751641314,0.0,0.0205910139484331,0.0,1
19,CheapestInsertion,1.9505339477849295,0.0,0.0001773010008037,56.0,1
19,HeldKarpCheck,1.908463713665149,0.0,0.0007020430639386,486.0,1
19,NearestNeighbor,1.9609034837981,0.0,0.000167800928466,21.0,1
19,ReferenceExact,1.908463713665149,0.0,0.0172532208962366,0.0,1
20,CheapestInsertion,2.2248962200315026,0.0,0.000510278972797,220.0,1
20,HeldKarpCheck,2.169746843952334,0.0,0.0218110929708927,23050.0,1
20,NearestNeighbor,2.1919092213038294,0.0,0.0002960250712931,55.0,1
20,ReferenceExact,2.169746843952334,0.0,0.0160172079922631,0.0,1
21,CheapestInsertion,2.2868830026413263,0.0,0.0004280669381842,84.0,1
21,HeldKarpCheck,2.207342884706021,0.0,0.0022960170172154,1351.0,1
21,NearestNeighbor,2.3086256803578853,0.0,0.0002806289121508,28.0,1
21,ReferenceExact,2.207342884706021,0.0,0.0112489919411018,0.0,1
22,CheapestInsertion,0.6495626477727782,0.0,0.0130633530206978,13244.0,1
22,NearestNeighbor,0.6732546714447214,0.0,0.0038889120332896,903.0,1
22,ReferenceExact,0.6495626464756483,0.0,0.0792955249780789,0.0,1
23,CheapestInsertion,2.01067302300028,0.0,8.957507088780403e-05,20.0,1
23,HeldKarpCheck,2.01067302300028,0.0,0.0003066890640184,52.0,1
23,NearestNeighbor,2.01067302300028,0.0,9.801809210330248e-05,10.0,1
23,ReferenceExact,2.01067302300028,0.0,0.0179999179672449,0.0,1
24,CheapestInsertion,1.3508272334785485,0.0,0.0001156500075012,20.0,1
24,HeldKarpCheck,1.3508272334785485,0.0,0.0001643120776861,52.0,1
24,NearestNeighbor,1.3993748985047247,0.0,0.0001097760396078,10.0,1
24,ReferenceExact,1.3508272334785485,0.0,0.0269954369869083,0.0,1
25,CheapestInsertion,1.9814865705339093,0.0,0.0002079779515042,56.0,1
25,HeldKarpCheck,1.9406169918137253,0.0,0.0009781159460544,486.0,1
25,NearestNeighbor,2.14963730615957,0.0,0.0001525039551779,21.0,1
25,ReferenceExact,1.9406169918137255,0.0,0.019578515086323,0.0,1
26,CheapestInsertion,2.218200980928021,0.0,0.0004868329269811,220.0,1
26,HeldKarpCheck,2.218200980928021,0.0,0.0182749370578676,23050.0,1
26,NearestNeighbor,2.3849297200719657,0.0,0.0002716289600357,55.0,1
26,ReferenceExact,2.218200980928021,0.0,0.0078107290901243,0.0,1
27,CheapestInsertion,1.9000621512377236,0.0,0.000151038984768,35.0,1
27,HeldKarpCheck,1.9000621512377236,0.0,0.0004773580003529,165.0,1
27,NearestNeighbor,2.0010321657997983,0.0,0.000142843928188,15.0,1
27,ReferenceExact,1.9000621512377236,0.0,0.0154610821045935,0.0,1
28,CheapestInsertion,2.025980418950708,0.0,0.0005319450283423,220.0,1
28,HeldKarpCheck,2.025980418950708,0.0,0.0176969110034406,23050.0,1
28,NearestNeighbor,2.2001155997760065,0.0,0.0002693689893931,55.0,1
28,ReferenceExact,2.025980418950708,0.0,0.0111066640820354,0.0,1
29,CheapestInsertion,2.5624115866453128,0.0,0.0025586840929463,1540.0,1
29,NearestNeighbor,2.536710985030414,0.0,0.0010475090239197,210.0,1
29,ReferenceExact,2.4908832129936185,0.0,0.0161442440003156,0.0,1
30,CheapestInsertion,2.063171142631893,0.0,0.0007142160320654,364.0,1
30,HeldKarpCheck,1.9298467885369197,0.0,0.0968980800826102,135180.0,1
30,NearestNeighbor,2.132897533580357,0.0,0.0003498870646581,78.0,1
30,ReferenceExact,1.9298467885369197,0.0,0.013193453894928,0.0,1
1,ILS,1.7739991125114165,0.0,0.34183358656009655,44670.4,20
1,ILS-RT,1.7739991125114165,0.0,2.1940085906418973,327890.75,20
1,Insertion+2opt,1.7920752767386523,0.0,0.0012053890386596,89.0,1
1,MultiStart2opt,1.7739991125114165,0.0,0.0721672425686847,6192.7,20
1,MultiStart2opt-RT,1.7739991125114165,0.0,1.361662577901734,212239.0,20
2,ILS,2.279975082456949,0.0,0.34796425156528127,52218.6,20
2,ILS-RT,2.279975082456949,0.0,2.9734222638770005,451187.3,20
2,Insertion+2opt,2.279975082456949,0.0,0.000965959043242,57.0,1
2,MultiStart2opt,2.279975082456949,0.0,0.043489753350149804,6642.45,20
2,MultiStart2opt-RT,2.279975082456949,0.0,1.4865101882489398,233753.0,20
3,ILS,2.5554615909469742,0.0,1.0219448939606082,123579.85,20
3,ILS-RT,2.5554615909469742,0.0,8.379277856944828,1054733.5,20
3,Insertion+2opt,2.5773142587776494,0.0,0.0067981299944221,749.0,1
3,MultiStart2opt,2.5554615909469742,0.0,0.1916963037976529,23259.1,20
3,MultiStart2opt-RT,2.5554615909469742,0.0,6.178854789410252,769336.1,20
4,ILS,2.1335996845890683,0.0,0.37269779216730964,58651.95,20
4,ILS-RT,2.1335996845890683,0.0,3.14744501474197,500490.7,20
4,Insertion+2opt,2.1335996845890683,0.0,0.0015120169846341,131.0,1
4,MultiStart2opt,2.1335996845890683,0.0,0.05167192558874371,8196.8,20
4,MultiStart2opt-RT,2.1335996845890683,0.0,1.7110900991421658,281645.0,20
5,ILS,1.8650742210238547,0.0,0.2946879638882819,45583.1,20
5,ILS-RT,1.8650742210238547,0.0,2.466451529262122,385298.15,20
5,Insertion+2opt,1.948477249281817,0.0,0.0014172289520502,117.0,1
5,MultiStart2opt,1.8650742210238547,0.0,0.04492693349602628,7092.75,20
5,MultiStart2opt-RT,1.8650742210238547,0.0,1.4595660449936987,238697.35,20
6,ILS,1.7564564612326241,0.0,0.313498334470205,50265.55,20
6,ILS-RT,1.7564564612326241,0.0,2.727382292540278,427037.3,20
6,Insertion+2opt,1.756456461232624,0.0,0.0010713470401242,85.0,1
6,MultiStart2opt,1.7564564612326241,0.0,0.03836889035883354,6263.3,20
6,MultiStart2opt-RT,1.7564564612326241,0.0,1.30716413098271,214021.15,20
7,ILS,1.8418822070973,0.0,0.09944928023614916,17589.5,20
7,ILS-RT,1.8418822070973,0.0,0.8050051650498062,148627.3,20
7,Insertion+2opt,1.8632534169221024,0.0,0.0004598880186676,30.0,1
7,MultiStart2opt,1.8421791294476138,0.0013278771186813173,0.012919934646924916,2434.0,20
7,MultiStart2opt-RT,1.8418822070973,0.0,0.39338370962068436,81944.25,20
8,ILS,2.4314289960780373,0.0,1.7093130777939223,180422.75,20
8,ILS-RT,2.4314289960780373,0.0,13.59055126439198,1534920.65,20
8,Insertion+2opt,2.4314289960780373,0.0,0.0061027109622955,496.0,1
8,MultiStart2opt,2.4314289960780373,0.0,0.3165445624093991,33486.55,20
8,MultiStart2opt-RT,2.4314289960780373,0.0,10.59452889690292,1141008.45,20
9,ILS,2.4407967218462767,0.0,0.5273089885886293,76432.4,20
9,ILS-RT,2.4407967218462767,0.0,4.571301277022576,649223.35,20
