task_id,seed,method,knn_vlm_to_human_m,sequence_rmse_m,dtw_rmse_m,vlm_targets,human_targets
6,0,Portfolio,11.294523186301026,336.36105355368915,302.6250188760983,11,15
7,0,Raw,12.716956712091811,32.73396583958204,22.592197677869994,8,11
7,0,ACO,12.716956712091811,25.963510678560795,20.505755609191283,8,11
7,0,DE,12.716956712091811,25.963510678560795,20.505755609191283,8,11
7,0,PSO,12.716956712091811,246.75785461979348,202.51877810258262,8,11
7,0,Portfolio,12.716956712091811,25.963510678560795,20.505755609191283,8,11
8,0,Raw,38.55048189518261,369.1719685205696,190.659022961376,19,19
8,0,ACO,38.55048189518261,175.402226343294,68.97523220424625,19,19
8,0,DE,38.55048189518261,192.8419267382789,68.42533590568468,19,19
8,0,PSO,38.55048189518261,346.3043786123586,202.69132838616719,19,19
8,0,Portfolio,38.55048189518261,175.402226343294,68.97523220424625,19,19
9,0,Raw,41.88016865345428,411.45414342365495,276.6911852767084,13,19
9,0,ACO,41.88016865345428,415.10287723140544,298.390788895882,13,19
9,0,DE,41.88016865345428,415.10287723140544,298.390788895882,13,19
9,0,PSO,41.88016865345428,385.1213635486086,260.62361851304576,13,19
9,0,Portfolio,41.88016865345428,415.10287723140544,298.390788895882,13,19
10,0,Raw,41.91299172933034,281.8342663981128,232.96793726846738,11,11
10,0,ACO,41.91299172933034,130.8478458096858,94.21126083728483,11,11
10,0,DE,41.91299172933034,130.8478458096858,94.21126083728483,11,11
10,0,PSO,41.91299172933034,199.17777356889252,119.82254204926747,11,11
10,0,Portfolio,41.91299172933034,130.8478458096858,94.21126083728483,11,11
11,0,Raw,28.79752566705434,496.735080186621,320.018137307105,11,16
11,0,ACO,28.79752566705434,148.81833473993328,91.37507799367746,11,16
11,0,DE,28.79752566705434,460.19185094239805,305.91821662926407,11,16
11,0,PSO,28.79752566705434,424.20752683963866,227.86321847029782,11,16
11,0,Portfolio,28.79752566705434,460.19185094239805,305.91821662926407,11,16
12,0,Raw,36.82948937185815,231.975407501575,158.17016940397872,15,17
12,0,ACO,36.82948937185815,194.4200098237387,113.4176189095864,15,17
12,0,DE,36.82948937185815,194.4200098237387,113.4176189095864,15,17
12,0,PSO,36.82948937185815,212.9201146913221,115.27156349866222,15,17
12,0,Portfolio,36.82948937185815,194.4200098237387,113.4176189095864,15,17
13,0,Raw,14.088928012663025,188.44366743059965,137.2031496781421,11,14
13,0,ACO,14.088928012663025,267.05503800939493,150.65381142198467,11,14
13,0,DE,14.088928012663025,267.05503800939493,150.65381142198467,11,14
13,0,PSO,14.088928012663025,284.10960900124167,155.35829136812754,11,14
13,0,Portfolio,14.088928012663025,267.05503800939493,150.65381142198467,11,14
14,0,Raw,12.67988710219387,320.2020298994678,237.1221200585828,5,23
14,0,ACO,12.67988710219387,350.5219080770468,256.6113745673694,5,23
14,0,DE,12.67988710219387,304.8315343837162,228.20096832735814,5,23
14,0,PSO,12.67988710219387,304.8315343837162,228.20096832735814,5,23
14,0,Portfolio,12.67988710219387,350.5219080770468,256.6113745673694,5,23
15,0,Raw,9.91484477929908,223.6350150543892,187.3323995091162,9,15
15,0,ACO,9.91484477929908,285.6024834372521,175.25317410665915,9,15
15,0,DE,9.91484477929908,285.6024834372521,175.25317410665915,9,15
15,0,PSO,9.91484477929908,276.7140013708258,181.67169256591953,9,15
15,0,Portfolio,9.91484477929908,285.6024834372521,175.25317410665915,9,15
16,0,Raw,12.267793657951744,152.50820462150324,109.45430188141415,17,21
16,0,ACO,12.267793657951744,141.3259121153911,111.90314847820524,17,21
16,0,DE,12.267793657951744,141.47667100638424,111.17274745962813,17,21
16,0,PSO,12.267793657951744,219.59299975586518,164.00463731504783,17,21
16,0,Portfolio,12.267793657951744,141.3259121153911,111.90314847820524,17,21
17,0,Raw,12.078894465234034,345.1294328600624,251.52917757184494,7,16
17,0,ACO,12.078894465234034,368.94239757224915,258.0076857668785,7,16
17,0,DE,12.078894465234034,111.57978594503467,92.59719142366565,7,16
17,0,PSO,12.078894465234034,111.57978594503467,92.59719142366565,7,16
17,0,Portfolio,12.078894465234034,368.94239757224915,258.0076857668785,7,16
18,0,Raw,15.124665979243543,316.6870767384874,210.64639448969615,17,22
18,0,ACO,15.124665979243543,346.5085778275522,249.8573305354944,17,22
18,0,DE,15.124665979243543,298.6747342336131,140.88684426239897,17,22
18,0,PSO,15.124665979243543,305.07236466345836,159.20181162667149,17,22
18,0,Portfolio,15.124665979243543,346.5085778275522,249.8573305354944,17,22
19,0,Raw,40.193179741132475,233.7275132145102,170.44691890155036,6,10
19,0,ACO,40.193179741132475,223.71939642130786,159.6568088821091,6,10
19,0,DE,40.193179741132475,136.07212927774353,85.89292798061038,6,10
19,0,PSO,40.193179741132475,223.71939642130786,159.6568088821091,6,10
19,0,Portfolio,40.193179741132475,223.71939642130786,159.6568088821091,6,10
20,0,Raw,16.298092950634057,514.2983631950701,339.9870549690142,10,15
20,0,ACO,16.298092950634057,499.7814972906079,347.72124428473074,10,15
20,0,DE,16.298092950634057,499.870576917694,346.33714016021145,10,15
20,0,PSO,16.298092950634057,499.870576917694,346.33714016021145,10,15
20,0,Portfolio,16.298092950634057,499.7814972906079,347.72124428473074,10,15
21,0,Raw,11.580189911614607,388.717920152771,226.5323472196511,7,17
21,0,ACO,11.580189911614607,291.80852395240674,176.58264803228982,7,17
21,0,DE,11.580189911614607,291.80852395240674,176.58264803228982,7,17
21,0,PSO,11.580189911614607,291.80852395240674,176.58264803228982,7,17
21,0,Portfolio,11.580189911614607,291.80852395240674,176.58264803228982,7,17
22,0,Raw,344.1534610034447,383.6162258595102,280.21233095164644,42,2
22,0,ACO,344.1534610034447,383.1494403906497,281.1630618745318,42,2
22,0,DE,344.1534610034447,376.52783084131573,245.70376571152715,42,2
22,0,PSO,344.1534610034447,380.6386512281313,243.85831731947738,42,2
22,0,Portfolio,344.1534610034447,383.1494403906497,281.1630618745318,42,2
23,0,Raw,18.519724727462936,262.8716912978012,238.31337809082305,4,5
23,0,ACO,18.519724727462936,34.493374244055225,29.93035911895772,4,5
23,0,DE,18.519724727462936,34.493374244055225,29.93035911895772,4,5
23,0,PSO,18.519724727462936,34.493374244055225,29.93035911895772,4,5
23,0,Portfolio,18.519724727462936,262.8716912978012,238.31337809082305,4,5
24,0,Raw,38.502416706949845,71.98057996510191,19.792127166077687,4,2
24,0,ACO,38.502416706949845,31.81764431111406,17.327697556954,4,2
24,0,DE,38.502416706949845,31.81764431111406,17.327697556954,4,2
24,0,PSO,38.502416706949845,31.81764431111406,17.327697556954,4,2
24,0,Portfolio,38.502416706949845,31.81764431111406,17.327697556954,4,2
25,0,Raw,9.703372145895367,63.06842678089195,40.01247300216312,6,10
25,0,ACO,9.703372145895367,16.816976114667323,14.215357135083266,6,10
25,0,DE,9.703372145895367,16.816976114667323,14.215357135083266,6,10
25,0,PSO,9.703372145895367,148.73245301184062,131.54000578204275,6,10
25,0,Portfolio,9.703372145895367,16.816976114667323,14.215357135083266,6,10
26,0,Raw,14.753293876734645,378.4712580143551,252.45253353088816,10,12
26,0,ACO,14.753293876734645,434.5818618073159,245.8481448384714,10,12
26,0,DE,14.753293876734645,440.2066830971143,267.9964188616621,10,12
26,0,PSO,14.753293876734645,434.5818618073159,245.8481448384714,10,12
26,0,Portfolio,14.753293876734645,434.5818618073159,245.8481448384714,10,12
27,0,Raw,56.046676188995846,215.97637234399474,161.6294606499091,5,7
27,0,ACO,56.046676188995846,264.75598311582047,170.940155754245,5,7
27,0,DE,56.046676188995846,264.75598311582047,170.940155754245,5,7
27,0,PSO,56.046676188995846,264.75598311582047,170.940155754245,5,7
27,0,Portfolio,56.046676188995846,264.75598311582047,170.940155754245,5,7
28,0,Raw,21.25112471459488,172.388752683203,122.75646059749847,10,16
28,0,ACO,21.25112471459488,178.3679496674615,126.49301739310727,10,16
28,0,DE,21.25112471459488,231.32094204631068,165.4610836710004,10,16
28,0,PSO,21.25112471459488,243.23891447235965,162.16531140009965,10,16
28,0,Portfolio,21.25112471459488,231.32094204631068,165.4610836710004,10,16
29,0,Raw,19.02208177130842,321.6050942270914,240.79333033151295,20,26
29,0,ACO,19.02208177130842,181.72997686966465,101.15175120913857,20,26
29,0,DE,19.02208177130842,408.513273033513,263.9425688115883,20,26
29,0,PSO,19.02208177130842,362.77485087741206,191.75649586916646,20,26
29,0,Portfolio,19.02208177130842,181.72997686966465,101.15175120913857,20,26
30,0,Raw,13.885066428835344,256.56146417167616,141.1002121463603,12,18
30,0,ACO,13.885066428835344,146.1019529713197,76.22521370295323,12,18
30,0,DE,13.885066428835344,169.2360990298314,91.95308108468068,12,18
30,0,PSO,13.885066428835344,132.2282009471513,79.57257762246847,12,18
30,0,Portfolio,13.885066428835344,146.1019529713197,76.22521370295323,12,18
